;AP;num_employees;num_firms
643;3302270001002;100.0;24
644;3302270001003;355.0;65
645;3302270001004;121.0;23
646;3302502001001;1140.0;132
647;3302502001002;751.0;69
648;3302502001003;200.0;56
649;3302502001004;1346.0;221
650;3302502001005;613.0;53
651;3302502001006;631.0;83
652;3302502001007;192.0;10
653;3302502001008;110.0;28
654;3302502001009;147.0;26
655;3302502001010;213.0;26
656;3302502001011;281.0;62
657;3302700001001;1205.0;235
658;3302700001002;381.0;71
659;3302700001003;372.0;91
660;3302700001004;1250.0;214
661;3302700001005;245.0;65
662;3303203001001;755.0;101
663;3303203001002;1634.0;189
664;3303203001003;3483.0;567
665;3303203001004;632.0;124
666;3303203001005;306.0;75
667;3303203002001;1129.0;124
668;3303203002002;154.0;33
669;3303203002003;331.0;53
670;3303302999001;2711.0;452
671;3303302999002;1881.0;264
672;3303302999003;2783.0;229
673;3303302999004;466.0;78
674;3303302999005;1410.0;260
675;3303302999006;1539.0;194
676;3303302999007;11761.5;1985
677;3303302999008;3921.0;632
678;3303302999009;1088.0;213
679;3303302999010;5683.0;650
680;3303302999011;251.0;29
681;3303302999012;1504.0;199
682;3303302999013;1199.0;172
683;3303302999014;5117.0;581
684;3303302999015;408.0;99
685;3303302999016;2164.0;185
686;3303302999017;35360.5;4057
687;3303302999018;3388.0;412
688;3303302999019;7550.0;459
689;3303500999001;1700.0;200
690;3303500999002;3234.0;238
691;3303500999003;927.0;106
692;3303500999004;1720.0;68
693;3303500999005;3085.0;160
694;3303500999006;253.0;30
695;3303500999007;15115.5;2077
696;3303500999008;1280.0;165
697;3303500999009;2605.0;183
698;3303500999010;2290.0;241
699;3303500999011;542.0;69
700;3303500999012;492.0;68
701;3303500999013;577.0;40
702;3303500999014;1077.0;79
703;3303500999015;256.0;44
704;3303500999016;825.0;61
705;3303500999017;615.0;38
706;3303500999018;747.0;74
707;3303500999019;437.0;86
708;3303500999020;107.0;26
709;3303500999021;798.0;89
710;3303500999022;315.0;72
711;3303500999023;1573.0;172
712;3303500999024;264.0;60
713;3303500999025;73.0;39
714;3303500999026;109.0;11
715;3303500999027;303.0;44
716;3303500999028;101.0;26
717;3303500999029;268.0;35
718;3303500999030;175.0;15
719;3303500999031;449.0;58
720;3303500999032;180.0;34
721;3303500999033;159.0;24
722;3303500999034;706.0;85
723;3303500999035;1149.0;147
724;3303500999036;40.0;14
725;3303500999037;404.0;18
726;3303500999038;98.0;23
727;3303500999039;982.0;37
728;3303500999040;322.0;38
729;3303500999041;777.0;66
730;3303500999042;301.0;51
731;3303500999043;221.0;41
732;3303500999044;1856.0;144
733;3303609001001;1216.0;219
734;3304144501001;2008.0;143
735;3304144502001;1114.0;176
736;3304144503001;1165.0;177
737;3304557999001;1005.0;165
738;3304557999002;5500.0;136
739;3304557999003;2218.0;237
740;3304557999004;963.0;139
741;3304557999005;7100.0;660
742;3304557999006;2124.0;236
743;3304557999007;1576.0;205
744;3304557999008;1475.0;166
