;AP;num_employees_clt;num_firms
899;3157807002004;2455;291
900;3157807002005;890;244
901;3158953001001;3849;672
902;3162922001001;5230;515
903;3162955001001;3695;578
904;3165537001001;5230;815
905;3167202001001;2600;602
906;3167202001002;20752;4040
907;3167202001003;4223;591
908;3167202001004;5883;523
909;3167202001005;1735;701
910;3167202001006;11257;1936
911;3167202001007;1308;581
912;3167202001008;7751;1030
913;3168705001001;17014;3465
914;3170206001001;1486;580
915;3170206001002;660;232
916;3170206001003;4011;1123
917;3170206001004;6411;756
918;3170206001005;3387;997
919;3170206001006;3316;1398
920;3170206001007;13265;2558
921;3170206001008;1683;554
922;3170206001009;13892;3056
923;3170206001010;18884;1817
924;3170206001011;28627;5803
925;3170206001012;9538;2440
926;3170206001013;17033;3615
927;3170206001014;6588;841
928;3170206001015;5204;1418
929;3170206001016;3001;865
930;3170206001017;594;438
931;3170206001018;1813;765
932;3170206001019;910;394
933;3170206001020;3936;924
934;3170206001021;1709;648
935;3170206001022;1188;428
936;3170206001023;13128;1304
937;3170206001024;4758;1223
938;3170206001025;638;378
939;3170206001026;5571;640
940;3170206001027;8494;1047
941;3171204001001;14370;2064
942;3201308001001;638;189
943;3201308001002;110;60
944;3201308001003;10854;1128
945;3201308001004;2688;554
946;3201308001005;390;159
947;3201308002001;3392;610
948;3201308002002;2326;535
949;3201308002003;3402;666
950;3201308002004;1415;366
951;3201308002005;1063;338
952;3201308002006;1777;424
953;3201308002007;2315;726
954;3201308002008;2586;505
955;3201308002009;8163;1764
956;3201308002010;8734;1137
957;3202405001001;7325;1900
958;3202405001002;3612;1301
959;3202405001003;3401;1204
960;3202405001004;4888;1420
961;3202405001005;449;144
962;3205002999001;2023;659
963;3205002999002;6226;1241
964;3205002999003;6408;892
965;3205002999004;1549;621
966;3205002999005;1514;376
967;3205002999006;926;250
968;3205002999007;3074;637
969;3205002999008;5323;1203
970;3205002999009;6708;1512
971;3205002999010;46691;3480
972;3205002999011;27636;2143
973;3205002999012;7030;1032
974;3205101001001;10728;1544
975;3205200999001;10734;1936
976;3205200999002;4621;867
977;3205200999003;1846;303
978;3205200999004;12174;3041
979;3205200999005;11985;2660
980;3205200999006;1117;302
981;3205200999007;6160;1113
982;3205200999008;3482;1003
983;3205200999009;2306;680
984;3205200999010;6366;1028
985;3205200999011;2540;436
986;3205200999012;5122;463
987;3205200999013;1988;313
988;3205200999014;1346;340
989;3205200999015;8649;1324
990;3205200999016;6658;910
991;3205200999017;2662;453
992;3205200999018;1935;497
993;3205200999019;7297;1043
994;3205309999001;24598;4139
995;3205309999002;8049;742
996;3205309999003;24075;3522
997;3205309999004;8229;1533
998;3205309999005;47999;8784
999;3205309999006;46579;6279
1000;3205309999007;4325;368
1001;3205309999008;5955;430
1002;3300308001005;14576;2843
1003;3300308001099;1012;220
1004;3300407001001;718;387
1005;3300407001002;3243;928
1006;3300407001003;2899;399
1007;3300407001004;3394;473
1008;3300407001005;1003;201
1009;3300407001006;11267;2277
1010;3300407001007;7446;1063
1011;3300407001008;1551;590
1012;3300456999001;7458;1025
1013;3300456999002;999;303
1014;3300456999003;2397;567
1015;3300456999004;445;293
1016;3300456999005;325;169
1017;3300456999006;169;160
1018;3300456999007;360;165
1019;3300456999008;162;151
1020;3300456999009;3237;419
1021;3300456999010;289;151
1022;3300456999011;605;254
1023;3300456999012;379;187
1024;3300456999013;665;335
1025;3300456999014;167;102
1026;3300456999015;2010;498
1027;3300456999016;235;171
1028;3300456999017;577;154
1029;3300456999018;334;189
1030;3300456999019;673;183
1031;3300456999020;867;240
1032;3301009999001;13;3
1033;3301009999004;1;1
1034;3301009999006;4113;797
1035;3301009999007;4799;213
1036;3301009999008;1640;271
1037;3301009999009;4178;722
1038;3301009999010;8212;1596
1039;3301009999011;30188;5591
1040;3301009999012;2231;244
1041;3301009999013;3945;674
1042;3301009999014;3190;834
1043;3301009999015;1533;522
1044;3301009999016;1769;427
1045;3301009999017;4037;517
1046;3301009999018;3091;376
1047;3301009999019;1816;296
1048;3301009999020;2562;366
1049;3301009999021;330;134
1050;3301009999022;1217;429
1051;3301702999001;23253;1530
1052;3301702999002;1435;261
1053;3301702999003;296;82
1054;3301702999004;26975;1203
