cod_mun;prop_urb
2408607;0,181943298
2408706;0,771505376
2408805;0,707514451
2408904;0,807805787
2408953;0,392752523
2409100;0,538840197
2409209;0,47008547
2409308;0,792050846
2409332;0,622286924
2409407;0,90116326
2409506;0,321633059
2409605;0,262732701
2409704;0,630277292
2409803;0,430019234
2409902;0,784492588
2410009;0,725516322
2410108;0,560720985
2410207;0,442187963
2410256;0,562253937
2410306;0,565167737
2410405;0,364354445
2410504;0,519425477
2410603;0,593294954
2410702;0,813273341
2410801;0,377619048
2410900;0,630381944
2411007;0,846429371
2411056;0,840788239
2411106;0,373304395
2411205;0,817856458
2411403;0,447863889
2411429;0,586453513
2411502;0,599393246
2411601;0,273830669
2411700;0,506781751
2411809;0,457328386
2411908;0,705747126
2412005;0,141110391
2412104;0,726921727
2412203;0,44689505
2412302;0,773243198
2412401;0,703997882
2412500;0,579159213
2412559;0,382849604
2412609;0,716177109
2412708;0,422225502
2412807;0,656505304
2412906;0,518614558
2413003;0,501153914
2413102;0,416268894
2413201;0,220169594
2413300;0,49693356
2413359;0,995872284
2413409;0,385655575
2413508;0,278781194
2413557;0,431664726
2413607;0,215048681
2413706;0,455260791
2413805;0,792508625
2413904;0,358858729
2414001;0,66916983
2414100;0,62884507
2414159;0,285811423
2414209;0,166214995
2414308;0,762905436
2414407;0,272391406
2414456;0,475013729
2414506;0,79733141
2414605;0,458829952
2414704;0,666423889
2414753;0,208357686
2414803;0,460572636
2414902;0,925706772
2415008;0,963212025
2500106;0,378417094
2500205;0,390386662
2500304;0,577565223
2500403;0,446890983
2500502;0,658243894
2500536;0,337031061
2500577;0,392032594
2500601;0,561958024
2500700;0,34346866
2500734;0,328207847
2500775;0,502714625
2500809;0,327217463
2500908;0,65802255
2501005;0,442577537
2501104;0,515517967
2501153;0,411121673
2501203;0,615168074
2501302;0,337038934
2501351;0,723648649
2501401;0,458429739
2501500;0,348005502
2501534;0,610918271
2501575;0,072434123
2501609;0,516949798
2501708;0,402944595
2501807;0,998583844
2501906;0,794941283
2502003;0,639566396
2502052;0,132473623
2502102;0,531572556
2502151;0,455950231
2502201;0,373461012
2502300;0,294796594
2502409;0,536294691
2502508;0,702149115
2502607;0,561122562
2502706;0,642071882
2502805;0,679305696
2502904;0,681909886
2503001;0,647253403
2503100;0,41025641
2503209;1
2503308;0,340949706
2503407;0,360357842
2503506;0,449128858
2503555;0,214787219
2503605;0,637406143
2503704;0,766956045
2503753;0,25877809
2503803;0,522793404
2503902;0,427302393
2504009;0,949773591
2504033;0,874641148
2504074;0,315789474
2504108;0,678703704
2504157;0,390682095
2504207;0,534751474
2504306;0,688262453
2504355;0,190772173
2504405;0,57286264
2504504;0,635257891
2504603;0,625479803
2504702;0,472837897
2504801;0,698678123
2504850;0,414205345
2504900;0,418294155
2505006;0,630870382
2505105;0,605183997
2505204;0,782740557
2505238;0,248040496
2505279;0,08341161
2505303;0,525801407
2505352;0,392866941
2505402;0,539410466
2505501;0,390900352
2505600;0,515751445
2505709;0,389459274
2505808;0,72446307
2505907;0,497876511
2506004;0,657530356
2506103;0,416918937
2506202;0,494697229
2506251;0,076399484
2506301;0,855988501
2506400;0,420497648
2506509;0,603800645
2506608;0,556008147
2506707;0,361924505
2506806;0,608710582
2506905;0,785535764
2507002;0,695403115
2507101;0,560787262
2507200;0,531790058
2507309;0,503860594
2507408;0,566073355
2507507;1
2507606;0,738172574
2507705;0,514287635
2507804;0,582942359
2507903;0,897377423
2508000;0,384868094
2508109;0,359620149
2508208;0,472339825
2508307;0,335844995
2508406;0,347017319
2508505;0,428796844
2508554;0,450870463
2508604;0,822860072
2508703;0,376409367
2508802;0,829058327
2508901;0,793201279
2509008;0,4588943
2509057;0,475253909
2509107;0,8430528
2509156;0,866144535
2509206;0,300162435
2509305;0,876
2509339;0,149045521
2509370;0,362175525
2509396;0,488871224
2509404;0,342075429
2509503;0,495338876
2509602;0,524319066
2509701;0,602593275
2509800;0,45021221
2509909;0,297860254
2510006;0,375
2510105;0,889077593
2510204;0,490785194
2510303;0,574307305
2510402;0,446303154
2510501;0,425798372
2510600;0,674814028
2510659;0,235908142
2510709;0,418898434
2510808;0,958457297
2510907;0,394283685
2511004;0,536294691
2511103;0,369653922
2511202;0,537875566
2511301;0,675901022
2511400;0,596390255
2511509;0,67889819
2511608;0,358076923
2511707;0,42320442
2511806;0,737203373
2511905;0,568033317
2512002;0,507862903
2512036;0,187304075
2512077;0,281666194
2512101;0,738999812
2512200;0,647591241
2512309;0,625363392
2512408;0,263750939
2512507;0,473079485
2512606;0,386085627
2512705;0,683652944
