AREAP;num_employees_clt;num_firms
1718006001001;201;15
1718204003001;558;111
1718204003002;5973;671
1718303001001;247;10
1718402001001;394;69
1718451001001;244;26
1718501001001;254;13
1718550001001;282;13
1718659001001;157;6
1718709001001;253;27
1718758001001;273;32
1718808001001;234;9
1718840001001;356;46
1718865001001;655;82
1718881001001;170;16
1718899001001;205;33
1718907001001;305;36
1719004001001;198;16
1720002001001;192;14
1720101001001;184;24
1720150001001;118;4
1720200001001;519;19
1720259001001;272;28
1720309001001;305;10
1720655001001;373;51
1720804001001;520;24
1720853001001;288;32
1720903001001;1054;131
1720937001001;232;13
1720978001001;392;65
1721000005001;867;124
1721000005002;662;19
1721000005003;547;91
1721000005004;340;84
1721000005005;50507;614
1721000005006;5544;708
1721000005007;4163;374
1721000005008;5824;143
1721000005009;1898;231
1721000005010;42848;1895
1721109001001;411;29
1721208001001;1723;186
1721257001001;161;14
1721307001001;236;26
1722081001001;933;89
1722107001001;1181;132
2100055003001;102;19
2100055003002;2928;74
2100055003003;5850;528
2100055003004;4752;374
2100105001001;11;3
2100154001001;44;15
2100204001001;771;24
2100303001001;2131;39
2100402001001;110;15
2100436001001;9936634432;30
2100477001001;436;20
2100501001001;653;46
2100550001001;254;8
2100600003001;175;55
2100709001001;511;20
2100808001001;843;31
2100832001001;561;2
2100873001001;261;5
2100907003001;272;68
2100956001001;923;45
2101004001001;968;50
2101103001001;264;13
2101202003001;9936217064;501
2101202003002;456;12
2101202003003;746;78
2101202003004;1024;113
2101251001001;1965;50
2101301001001;9833813009;12
2101350001001;149;5
2101400003001;19872057251;912
2101400003002;677;103
2101400003003;834;114
2101509001001;9935513356;73
2101608003002;2222;169
2101608003003;1076;111
2101707003002;2393;125
2101731001001;238;2
2101772001001;55;10
2101806001001;9935512674;9
2101905001001;475;20
2101939001001;183;7
2101970001001;240;5
2102002003001;9836555951;57
2102002003002;3;1
2102036001001;1160;51
2102077001001;237;13
2102101001001;584;91
2102150001001;221;3
2102200001001;842;29
2102309001001;546;25
2102325003001;9836557220;104
2102325003002;396;55
2102358001001;469;18
2102374001001;175;2
2102408001001;253;4
2102507001001;481;8
2102556001001;1355;60
2102606001001;9898365978;12
2102705001001;658;20
2102754001001;588;15
2102804001001;2532;159
2102903001001;1085;54
2103000003001;185;38
2103000003002;575;57
2103000003003;589;77
2103000003004;29702901662;449
2103000003005;242;16
2103000003007;19764589235;128
2103109001001;273;4
2103125001001;9833812667;5
2103158001001;321;4
2103174001001;347;23
2103208003001;9834711191;36
2103208003002;88512491441;257
2103257001001;1414;55
2103307003001;1696;59
2103307003002;117;23
2103307003003;4216;271
2103307003004;828;52
2103406003001;208;54
2103406003002;2850;101
2103505003001;987;68
2103505003002;242;28
2103554001001;699;10
2103604003001;17;6
2103604003002;2785;154
2103703003001;15;6
2103703003002;1211;34
2103752001001;460;36
2103802001001;1620;96
2103901001001;526;9
2104008001001;677;34
2104057003001;9935317654;86
2104057003002;9935321701;230
2104073001001;377;8
2104081001001;178;4
2104099001001;565;17
2104107001001;618;51
2104206001001;384;20
2104305001001;923;8
2104404001001;407;19
2104503001001;310;10
2104552001001;1286;55
2104602001001;589;13
2104628001001;296;5
2104651001001;297;12
2104677001001;1290;28
2104701001001;182;7
2104800003001;9935329505;33
2104800003002;19870663221;231
2104909001001;573;7
2105005001001;1362;24
2105104001001;1065;10
2105153001001;682;37
2105203001001;67;17
2105302004001;29870503425;39
2105302004002;9935260678;428
2105302004003;1676;233
2105302004004;9930763654;734
2105302004005;6869;42
2105302004006;9935249894;118
2105302004007;9935238598;656
2105302004008;9935250531;130
2105302004009;651;100
2105302004010;599;107
2105302004011;3757;310
2105302004012;8404;766
2105351001001;140;1
2105401003001;2095;177
2105401003002;2497;43
2105427001001;1750;167
2105450001001;348;2
2105476001001;340;6
2105500001001;1430;77
2105609001001;502;11
2105658001001;152;6
2105708003001;9936441737;35
2105708003002;9936443182;134
2105807001001;339;14
2105906001001;419;21
2105922001001;242;7
2105948001001;387;12
2105963001001;187;4
2105989001001;281;19
2106003001001;564;21
2106102001001;797;40
2106201001001;204;6
2106300001001;766;20
2106326001001;19673110534;33
2106359001001;93;2
2106375001001;19827901970;6
2106409001001;909;22
2106508001001;1166;33
2106607001001;1537;31
2106631001001;253;7
2106672001001;240;5
2106706001001;456;17
2106755001001;19669180969;58
2106805001001;347;18
2106904001001;753;17
2107001001001;733;35
2107100001001;515;21
2107209001001;320;4
2107258001001;308;12
2107308001001;200;10
2107357001001;205;19
2107407001001;940;38
2107456001001;468;11
2107506003001;23;2
2107506003002;9832394227;213
2107506003003;9832371683;64
2107506003004;145;29
2107605001001;400;11
2107704001001;769;44
2107803003001;1909;51
2107902001001;375;29
2108009001001;636;41
2108058001001;291;5
2108108001001;644;26
2108207003001;9832376689;120
2108207003002;1755;259
2108256001001;476;5
2108306001001;1396;23
2108405001001;133;7
2108454001001;923;50
2108504001001;1344;61
2108603003002;9833813083;37
2108603003003;59105699300;248
2108702001001;646;42
2108801001001;491;14
2108900001001;1111;40
2109007001001;2403;190
2109056001001;271;3
2109106003001;49683164959;287
2109106003002;296;39
2109205001001;409;5
2109239001001;352;8
2109270001001;19667624975;7
2109304001001;460;8
2109403001001;62;5
2109452001001;1255;91
2109502001001;9936634684;93
2109551001001;345;46
2109601003001;66;5
2109601003002;2066;128
2109700001001;544;29
2109759001001;1;1
2109809003001;888;10
2109809003002;9833812667;25
2109908003001;736;50
2109908003002;9836535518;430
2109908003003;4180;218
2110005003001;21;4
2110005003002;9881478983;105
2110005003003;9836532999;41
2110039001001;29509665806;49
2110104001001;9900000414;26
2110203003001;816;71
2110237001001;199;7
2110278001001;313;4
2110302001001;589;26
2110401001001;9834711118;18
2110500003001;921;49
2110500003002;39;10
2110609001001;1127;60
2110658001001;234;17
2110708003001;994;47
2110708003002;39;3
2110807001001;264;7
2110856001001;441;48
2110906001001;507;11
2111003001001;25;7
2111029001001;467;10
2111052001001;456;38
2111078001001;308;6
2111102001001;109290638137;196
2111201003001;29552959276;334
2111201003002;9832749064;100
2111201003003;285;23
2111201003004;93;25
2111201003005;99;10
2111201003006;39329856708;145
2111201003007;19714239986;128
2111250001001;204;4
